maze_name,n_estados,n_comparados,taxa_acordo,desvio_pct,js_divergencia,terminal,avg_score_difficult,difficult_level,total_games,avg_time_to_finish,avg_moves,grid_width,grid_height,tortuosidade,area_grid,densidade
Nelroyal,86,85,0.6118,0.3882,0.1766,"('Nelroyal', 10, 13)",914.16,1,234,17.47962,20.84,11,16,0.7719,176,0.1184
Sunset Serengeti,731,730,0.6288,0.3712,0.2424,"('Sunset Serengeti', 40, 33)",342.4,5,60,191.605331,293.7,49,43,3.1924,2107,0.1394
North Stranthorpe,164,163,0.6319,0.3681,0.2019,"('North Stranthorpe', 9, 5)",832.45,2,193,23.478104,15.23,26,18,0.3461,468,0.0325
Downpreswood,201,200,0.635,0.365,0.1862,"('Downpreswood', 26, 10)",614.19,4,188,69.425428,78.75,34,25,1.3347,850,0.0926
Crorkan,331,330,0.6364,0.3636,0.224,"('Crorkan', 18, 24)",499.78,5,181,96.831965,117.92,31,35,1.7867,1085,0.1087
Bridtoumers,95,94,0.6383,0.3617,0.1781,"('Bridtoumers', 2, 12)",805.07,2,227,24.543553,27.28,14,22,0.7578,308,0.0886
Chimney Well,289,288,0.6389,0.3611,0.2667,"('Chimney Well', 11, 0)",648.64,4,181,56.609615,51.71,28,19,1.1002,532,0.0972
West Wotton,201,200,0.645,0.355,0.2075,"('West Wotton', 12, 4)",720.33,3,203,40.822648,45.42,28,21,0.9269,588,0.0772
Insed,990,989,0.6451,0.3549,0.2869,"('Insed', 3, 30)",580.94,5,188,38.453041,65.36,36,33,0.9472,1188,0.055
Stowen Grove,286,285,0.6456,0.3544,0.2373,"('Stowen Grove', 15, 20)",586.03,5,177,79.057745,84.24,39,22,1.381,858,0.0982
Walnut Wood,773,772,0.6477,0.3523,0.2532,"('Walnut Wood', 49, 26)",377.79,5,182,178.773975,254.54,55,31,2.9598,1705,0.1493
West Wellgreatcli,115,114,0.6491,0.3509,0.1908,"('West Wellgreatcli', 2, 10)",740.09,3,224,31.44496,35.81,12,23,1.0231,276,0.1297
Islesdean,73,72,0.6528,0.3472,0.1983,"('Islesdean', 8, 5)",770.82,3,165,29.637222,25.95,11,26,0.7014,286,0.0907
Aux Ishal,84,83,0.6627,0.3373,0.1854,"('Aux Ishal', 13, 10)",828.39,2,226,21.547932,24.32,19,23,0.579,437,0.0557
Red Tringplainspat,283,282,0.6631,0.3369,0.2189,"('Red Tringplainspat', 13, 1)",674.88,4,184,56.835208,59.18,23,31,1.0959,713,0.083
Kraigmill,367,366,0.6639,0.3361,0.2316,"('Kraigmill', 6, 25)",609.71,4,185,101.20423,99.32,28,36,1.5519,1008,0.0985
Hawkseye Harbor,346,345,0.6696,0.3304,0.2278,"('Hawkseye Harbor', 24, 28)",654.4,4,83,78.736781,81.05,42,36,1.0391,1512,0.0536
Fragan Heights,323,322,0.6739,0.3261,0.2265,"('Fragan Heights', 10, 5)",710.54,3,170,28.556665,26.25,32,27,0.4449,864,0.0304
New Elmspring,477,476,0.6744,0.3256,0.2407,"('New Elmspring', 0, 4)",707.06,3,168,76.496643,106.35,38,31,1.5413,1178,0.0903
Lymesham,135,134,0.6791,0.3209,0.1805,"('Lymesham', 7, 14)",756.05,3,224,28.956752,25.84,23,18,0.6302,414,0.0624
Rattlesnake Ridge,708,707,0.6803,0.3197,0.2311,"('Rattlesnake Ridge', 31, 30)",675.81,4,177,51.156222,78.75,42,32,1.0642,1344,0.0586
