maze_name,n_estados,n_estados_teste,taxa_acordo,js_divergencia
Albatross Acre,200,145,0.8621,0.1211
Amberfall Anchorage,607,447,0.736,0.2506
Amethyst Arbor,461,364,0.6538,0.3292
Annmits Upon Biglonfield,186,171,0.6959,0.2254
Attau,119,34,0.6765,0.2221
Aux Buwales,130,68,0.6765,0.3015
Aux Ishal,84,41,0.8537,0.106
Azure Haven,391,293,0.7816,0.2024
Bahqui Lake,130,86,0.9419,0.071
Be,176,48,0.8542,0.1485
Beakwind Bay,583,438,0.7146,0.2541
Bearpaw Brook,726,319,0.6991,0.2473
Becclesgreennkport,198,173,0.6416,0.2402
Belan,125,97,0.8866,0.0995
Bivens,179,123,0.6992,0.2058
Black Bear Bight,328,172,0.7151,0.1958
Branfray Bay,326,153,0.7124,0.1624
Briarneach,285,208,0.7452,0.231
Bridtoumers,94,40,0.925,0.0891
Chammoines,321,234,0.6795,0.2546
Chatle,105,103,0.6505,0.2657
Chimney Well,286,221,0.5882,0.3328
Churchsoundbury,310,227,0.7048,0.2347
Ckrodhurstkenford,390,253,0.7075,0.1949
Cliffrose Keep,416,348,0.8621,0.1238
Cobblestone Creek,749,427,0.6206,0.303
Coorteon,102,77,0.7143,0.1714
Copperfield Cliff,841,634,0.7287,0.2385
Coral Crest,300,204,0.7696,0.214
Cranfleet,162,118,0.7627,0.1496
Crorkan,323,256,0.6484,0.2375
Crystal Cove,767,585,0.6786,0.3143
Cypress Cove,932,470,0.7213,0.2399
Dbech Forest,400,304,0.8355,0.1449
Diamond Dale,519,361,0.7895,0.1944
Doveheart Dale,642,389,0.6838,0.237
Downpreswood,200,105,0.8095,0.1323
Dragons Descent,543,391,0.7238,0.2057
East Amppriest,281,193,0.7409,0.2109
East Dicool,576,447,0.7114,0.2228
East Pynbrook,143,116,0.7586,0.2066
Eawi,123,96,0.6042,0.2223
El Fallvey,443,341,0.695,0.2626
El Ton,176,142,0.6197,0.2311
Elmead,139,91,0.6703,0.2561
Emerald Enclave,471,306,0.7549,0.2034
Eucalyptus Edge,431,255,0.749,0.2293
Falcons Hollow,502,344,0.782,0.2153
Feryeo,363,296,0.8412,0.159
Fipea Grove,138,108,0.6111,0.3498
Fort Egat,116,90,0.6778,0.2039
Fort Quillton,155,121,0.7521,0.1734
