maze_name,complexidade_hibrida,taxa_acordo,js_divergencia,desvio_pct,n_estados,n_partidas,media_reflexoes,media_voltas,mediana_tempo,p90_backtracks,fluidez,sinuosidade,norm_reflexoes,norm_voltas,norm_tempo,norm_risco,norm_fluidez,score_base,score_final_raw
Nelroyal,10.83,0.6118,0.1766,0.3882,86,234,0.7564102564102564,10.068376068376068,12.16109,11.0,0.19668246445497628,0.5075398535114175,0.01359300723582887,0.06836333435932362,0.040792202202929305,0.029821073558648103,0.39785026631750126,0.02775549220616228,-0.05181456105733797
Sunset Serengeti,96.19,0.6288,0.2424,0.3712,731,56,17.482142857142858,113.16071428571429,153.27375,154.0,0.2714152410575428,0.3942146189735614,0.8774041351931641,0.9931553618396438,1.0,0.7405566600397613,0.7789307407748002,0.8861289357884986,0.7303427876335385
North Stranthorpe,0.0,0.6319,0.2019,0.3681,164,193,1.1917098445595855,4.150259067357513,11.01624,6.0,0.2933673469387755,0.2919096209912536,0.03607433210300781,0.015274739077882621,0.03301012901893592,0.004970178926441351,0.8908698296841466,0.02716070154836762,-0.15101326438846172
Downpreswood,29.67,0.635,0.1862,0.365,201,187,4.566844919786096,24.010695187165776,42.71815,39.80000000000001,0.20494186046511625,0.31076965669988926,0.21038533574849694,0.19343320655933813,0.24850262471039927,0.17296222664015906,0.43996692106209123,0.20882895880029398,0.12083557458787572
Crorkan,40.46,0.6364,0.224,0.3636,331,181,7.104972375690608,40.20441988950276,69.52095,69.0,0.25066162570888467,0.34390359168241963,0.3414685470446243,0.33869936075559354,0.43069361142126794,0.3180914512922465,0.6731030445039874,0.35436122214057436,0.21974061323977687
Bridtoumers,8.7,0.6383,0.1781,0.3617,95,227,2.05726872246696,7.691629955947136,14.59563,10.0,0.2489522212908634,0.2927074601844091,0.08077667241220932,0.04704268246485085,0.05734089281686062,0.024850894632206754,0.6643863785874612,0.06153096194240322,-0.07134631377508903
Chimney Well,14.19,0.6389,0.2667,0.3611,289,178,3.331460674157303,16.52247191011236,26.914414999999998,31.30000000000001,0.2767674471470789,0.3342805182996135,0.14658312844604449,0.12625993930826232,0.14107735297136118,0.13071570576540759,0.8062229320825112,0.14027616990120223,-0.020968416515300015
West Wotton,9.08,0.645,0.2075,0.355,201,201,2.288557213930348,18.766169154228855,25.42305,26.0,0.2911633109619686,0.42192393736017897,0.09272171407129864,0.14638707348058178,0.13093985760162166,0.10437375745526836,0.8796309180051489,0.1080622873950855,-0.0678638962059443
Insed,20.99,0.6451,0.2869,0.3549,990,187,1.4438502673796791,11.29946524064171,25.68328,23.0,0.15359449710594747,0.17725023068534518,0.04909628505652595,0.07940684614027126,0.13270876086813746,0.08946322067594431,0.17813431587060458,0.07692322345110646,0.04129636027698554
Stowen Grove,28.99,0.6456,0.2373,0.3544,286,175,5.714285714285714,31.78857142857143,38.34726,62.19999999999999,0.26292763393817686,0.3989815678118052,0.26964564742641783,0.26320481192943374,0.21879167055991242,0.2842942345924452,0.7356503824755739,0.2617604859366238,0.11463040944150904
Walnut Wood,87.75,0.6477,0.2532,0.3523,773,174,17.04022988505747,83.816091954023,132.0881,119.40000000000003,0.24833089073440806,0.3392653592946705,0.8545812578945434,0.7299187988609508,0.8559913711399139,0.5685884691848907,0.6612180640404451,0.7851984768983278,0.6529548640902387
West Wellgreatcli,10.21,0.6491,0.1908,0.3509,115,223,2.008968609865471,11.672645739910314,17.25217,19.80000000000001,0.25067385444743934,0.33410345270183545,0.07828218229074634,0.08275446979982161,0.07539861976467543,0.07355864811133205,0.6731654017948882,0.07720799170055682,-0.05742508865842082
Islesdean,11.59,0.6528,0.1983,0.3472,73,165,1.8484848484848484,6.4,18.18068,10.0,0.22133138969873664,0.2565597667638484,0.06999389607654731,0.035456088287537116,0.08171013024383837,0.024850894632206754,0.5235410883875607,0.05985476184223639,-0.04485345583527576
Aux Ishal,9.41,0.6627,0.1854,0.3373,84,225,1.2933333333333332,8.542222222222222,12.95744,10.0,0.22171945701357465,0.37812315561676174,0.04132274199691976,0.054672938603083636,0.04620536024116413,0.024850894632206754,0.5255199373368818,0.04033991583344242,-0.06476407163393394
Red Tringplainspat,16.94,0.6631,0.2189,0.3369,283,184,3.9510869565217392,20.95108695652174,30.43172,36.400000000000034,0.28136384866884634,0.36011209715086406,0.17858412300085338,0.1659869254113866,0.16498609640537076,0.15606361829025858,0.8296610933865731,0.17010069698069122,0.004168478303376577
Kraigmill,36.64,0.6639,0.2316,0.3361,367,184,7.407608695652174,39.97826086956522,52.974615,85.10000000000005,0.2861553729944313,0.40557975409384134,0.35709839281266004,0.3366705964245326,0.3182205451707799,0.39811133200795246,0.85409423298579,0.35548263148452974,0.18466378488737173
Hawkseye Harbor,25.72,0.6696,0.2278,0.3304,346,82,6.390243902439025,27.634146341463413,33.722995,47.900000000000006,0.2856920925897157,0.3520273419294702,0.3045559391845877,0.22593745272741322,0.18735840973781417,0.21322067594433397,0.8517318543286356,0.2549875320014648,0.08464116113573766
Fragan Heights,10.49,0.6739,0.2265,0.3261,323,170,1.9764705882352942,7.394117647058824,12.302579999999999,19.399999999999977,0.23665190020983912,0.2930753089298205,0.07660380123618403,0.04437384192737915,0.04175397495464632,0.07157057654075534,0.6016640710989841,0.06540419510991027,-0.054928619109886556
New Elmspring,26.87,0.6744,0.2407,0.3256,477,165,4.951515151515151,36.04242424242424,39.63607,60.0,0.26598072260658745,0.3516645970078647,0.23025187521158333,0.3013640896832503,0.2275523062242025,0.2733598409542743,0.7512188188593246,0.24544477600981207,0.09520101223794714
Lymesham,5.44,0.6791,0.1805,0.3209,135,224,2.049107142857143,11.5,14.112885,19.400000000000034,0.2898993529834651,0.4629762760603882,0.08035516242774614,0.08120574749311728,0.05405945252406516,0.07157057654075562,0.8731856910506659,0.07342416177614897,-0.10121297643398422
