maze_name,n_estados,n_comparados,taxa_acordo,desvio_pct,js_divergencia,terminal
Nelroyal,86,85,0.6118,0.3882,0.1766,"('Nelroyal', 10, 13)"
Sunset Serengeti,731,730,0.6288,0.3712,0.2424,"('Sunset Serengeti', 40, 33)"
North Stranthorpe,164,163,0.6319,0.3681,0.2019,"('North Stranthorpe', 9, 5)"
Downpreswood,201,200,0.635,0.365,0.1862,"('Downpreswood', 26, 10)"
Crorkan,331,330,0.6364,0.3636,0.224,"('Crorkan', 18, 24)"
Bridtoumers,95,94,0.6383,0.3617,0.1781,"('Bridtoumers', 2, 12)"
Chimney Well,289,288,0.6389,0.3611,0.2667,"('Chimney Well', 11, 0)"
West Wotton,201,200,0.645,0.355,0.2075,"('West Wotton', 12, 4)"
Insed,990,989,0.6451,0.3549,0.2869,"('Insed', 3, 30)"
Stowen Grove,286,285,0.6456,0.3544,0.2373,"('Stowen Grove', 15, 20)"
Walnut Wood,773,772,0.6477,0.3523,0.2532,"('Walnut Wood', 49, 26)"
West Wellgreatcli,115,114,0.6491,0.3509,0.1908,"('West Wellgreatcli', 2, 10)"
Islesdean,73,72,0.6528,0.3472,0.1983,"('Islesdean', 8, 5)"
Aux Ishal,84,83,0.6627,0.3373,0.1854,"('Aux Ishal', 13, 10)"
Red Tringplainspat,283,282,0.6631,0.3369,0.2189,"('Red Tringplainspat', 13, 1)"
Kraigmill,367,366,0.6639,0.3361,0.2316,"('Kraigmill', 6, 25)"
Hawkseye Harbor,346,345,0.6696,0.3304,0.2278,"('Hawkseye Harbor', 24, 28)"
Fragan Heights,323,322,0.6739,0.3261,0.2265,"('Fragan Heights', 10, 5)"
New Elmspring,477,476,0.6744,0.3256,0.2407,"('New Elmspring', 0, 4)"
Lymesham,135,134,0.6791,0.3209,0.1805,"('Lymesham', 7, 14)"
Rattlesnake Ridge,708,707,0.6803,0.3197,0.2311,"('Rattlesnake Ridge', 31, 30)"
Tiche,261,260,0.6808,0.3192,0.2447,"('Tiche', 29, 8)"
Stowcold,375,374,0.6818,0.3182,0.2281,"('Stowcold', 25, 13)"
Be,176,174,0.6839,0.3161,0.1991,"('Be', 7, 15)"
Otter Creek,360,359,0.6852,0.3148,0.1795,"('Otter Creek', 19, 2)"
Fort Egat,119,118,0.6864,0.3136,0.2016,"('Fort Egat', 6, 5)"
Black Bear Bight,345,344,0.689,0.311,0.2089,"('Black Bear Bight', 15, 1)"
Port Rnonsta,236,235,0.6936,0.3064,0.2033,"('Port Rnonsta', 23, 2)"
Nyster Wells,174,173,0.6936,0.3064,0.2469,"('Nyster Wells', 4, 10)"
Stagskull Shore,664,663,0.6938,0.3062,0.2379,"('Stagskull Shore', 28, 29)"
Shafton Lake,332,331,0.6949,0.3051,0.224,"('Shafton Lake', 20, 15)"
Attau,119,118,0.6949,0.3051,0.1534,"('Attau', 20, 14)"
Swangates,257,256,0.6953,0.3047,0.1595,"('Swangates', 24, 22)"
El Ton,192,191,0.6963,0.3037,0.208,"('El Ton', 18, 1)"
Silverwood-on-Lake,349,348,0.7011,0.2989,0.2111,"('Silverwood-on-Lake', 26, 1)"
Grand Stormwatch,269,268,0.7015,0.2985,0.218,"('Grand Stormwatch', 15, 9)"
Whitport,219,218,0.7018,0.2982,0.2081,"('Whitport', 22, 20)"
Aux Buwales,132,131,0.7023,0.2977,0.2111,"('Aux Buwales', 0, 14)"
Og,234,233,0.7039,0.2961,0.2309,"('Og', 2, 7)"
Branfray Bay,329,328,0.7043,0.2957,0.2085,"('Branfray Bay', 26, 11)"
Whitebeaupr,165,164,0.7073,0.2927,0.1751,"('Whitebeaupr', 6, 24)"
Stra,358,357,0.7087,0.2913,0.2131,"('Stra', 0, 4)"
Eawi,135,134,0.709,0.291,0.1916,"('Eawi', 16, 0)"
Beakwind Bay,606,605,0.7107,0.2893,0.2315,"('Beakwind Bay', 25, 2)"
Yassdrawich,129,128,0.7109,0.2891,0.2339,"('Yassdrawich', 2, 11)"
Port Carrahur,285,284,0.7113,0.2887,0.2509,"('Port Carrahur', 2, 2)"
Fipea Grove,157,156,0.7115,0.2885,0.2322,"('Fipea Grove', 7, 9)"
Churchsoundbury,338,337,0.7122,0.2878,0.2074,"('Churchsoundbury', 26, 3)"
Hawthorn Haven,425,424,0.7123,0.2877,0.1816,"('Hawthorn Haven', 3, 53)"
Cobblestone Creek,791,790,0.7139,0.2861,0.2164,"('Cobblestone Creek', 25, 13)"
Sparrow Hill,407,406,0.7143,0.2857,0.1843,"('Sparrow Hill', 23, 17)"
Chatle,115,114,0.7193,0.2807,0.2196,"('Chatle', 1, 6)"
Tigerlily Terrace,233,232,0.7198,0.2802,0.2061,"('Tigerlily Terrace', 15, 20)"
San Chu,212,211,0.7204,0.2796,0.167,"('San Chu', 12, 3)"
