maze_name,js_base,js_penalidade_2x,js_penalidade_0x,js_saida_menor,js_saida_maior
Albatross Acre,0.1409,0.1417,0.1349,0.1399,0.1418
Amberfall Anchorage,0.1922,0.1924,0.198,0.192,0.195
Amethyst Arbor,0.192,0.1928,0.1948,0.1921,0.1952
Annmits Upon Biglonfield,0.1962,0.1957,0.1962,0.204,0.1954
Attau,0.1534,0.1534,0.1534,0.158,0.1534
Aux Buwales,0.2111,0.203,0.2122,0.1958,0.2123
Aux Ishal,0.1854,0.1828,0.1854,0.1828,0.1854
Azure Haven,0.1569,0.152,0.1635,0.154,0.1632
Bahqui Lake,0.104,0.104,0.1047,0.1056,0.1047
Be,0.1991,0.1927,0.1978,0.1823,0.2006
Beakwind Bay,0.2315,0.2277,0.235,0.2296,0.2316
Bearpaw Brook,0.2126,0.2119,0.2076,0.2123,0.2116
Becclesgreennkport,0.2076,0.2084,0.2039,0.2168,0.2048
Belan,0.1226,0.1179,0.1138,0.1216,0.1236
Bivens,0.1954,0.1956,0.1856,0.197,0.1986
Black Bear Bight,0.2089,0.2084,0.2065,0.2107,0.208
Branfray Bay,0.2085,0.2091,0.203,0.2112,0.2039
Briarneach,0.2032,0.2035,0.2015,0.2041,0.2026
Bridtoumers,0.1781,0.1781,0.1801,0.1798,0.1781
Chammoines,0.218,0.218,0.2209,0.2185,0.2205
Chatle,0.2196,0.2151,0.2406,0.2151,0.2208
Chimney Well,0.2667,0.2574,0.2469,0.2536,0.2665
Churchsoundbury,0.2074,0.2092,0.2114,0.2236,0.2088
Ckrodhurstkenford,0.1988,0.2009,0.1879,0.2006,0.1936
Cliffrose Keep,0.1334,0.1334,0.1425,0.1335,0.1334
Cobblestone Creek,0.2164,0.2158,0.2189,0.2177,0.2148
Coorteon,0.1482,0.1487,0.1419,0.1498,0.1419
Copperfield Cliff,0.1584,0.1581,0.1993,0.1577,0.1704
Coral Crest,0.1394,0.1383,0.147,0.1364,0.1422
Cranfleet,0.1408,0.1346,0.1446,0.1352,0.1425
Crorkan,0.224,0.2266,0.2195,0.2304,0.2203
Crystal Cove,0.2091,0.2085,0.2086,0.2053,0.2091
Cypress Cove,0.1549,0.1533,0.1621,0.1518,0.157
Dbech Forest,0.1467,0.1468,0.1395,0.1474,0.1478
Diamond Dale,0.1558,0.1566,0.1602,0.1566,0.1582
Doveheart Dale,0.1882,0.1882,0.1946,0.1887,0.1893
Downpreswood,0.1862,0.1862,0.1837,0.1962,0.1849
Dragons Descent,0.2065,0.2064,0.2194,0.2053,0.2106
East Amppriest,0.1823,0.1817,0.1879,0.1827,0.1855
East Dicool,0.1887,0.1847,0.2043,0.1829,0.1987
East Pynbrook,0.1607,0.1588,0.1587,0.1616,0.1565
Eawi,0.1916,0.1951,0.1927,0.204,0.1936
El Fallvey,0.2185,0.2155,0.2123,0.2191,0.2173
El Ton,0.208,0.2135,0.2007,0.2132,0.2054
Elmead,0.1635,0.1633,0.1685,0.1731,0.1639
